IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
15001,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,1,1 SOLER,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15002,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,513,513 ZARAGOZA,CALIMAX,AA,MEXICALI,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15003,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,2,2 BOULEVARD,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15004,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,3,3 QUINTA,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
15005,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,4,4 SEGUNDA,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15006,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,5,5 RIO,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15007,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,517,517 CETYS MEXICALI,CALIMAX,AA,MEXICALI,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15008,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,6,6 MESA,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15009,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,7,7 REVOLUCION,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15010,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,519,519 PEDREGAL,CALIMAX,A,SIN ASIGNAR,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15011,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,8,8 ROSARITO,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15012,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,520,520 VILLA VERDE,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
15013,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,521,521 MONTECARLO,CALIMAX,AA,MEXICALI,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15014,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,10,10 JARDINES,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
15015,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,522,522 PORTALES,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
15016,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,11,11 FIESTA,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15017,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,524,524 SANTA ISABEL,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
15018,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,13,13 JUAREZ,CALIMAX,AA,TIJUANA,BAJA CALIFORNIA,AREA 1,AREA I  PACIFICO
15019,AUTOSERVICIOS,CADENAS REGIONALES,CALIMAX,CALIMAX,525,525 RIVERA CAMPESTRE,CALIMAX,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
